fiscal_year,expenditure_table,parent_code,estimate,subcodes_child_sum,printed_top_total,difference_subcodes_minus_printed_top,child_count,status
2026-27,current_revenue,01,BE_prior,12210850,12210851,-1,8,rounding
2026-27,current_revenue,01,RE_prior,10782453,10782451,2,8,rounding
2026-27,current_revenue,01,BE_current,12799647,12799647,0,8,exact
2026-27,current_revenue,02,BE_prior,2557950,2557950,0,3,exact
2026-27,current_revenue,02,RE_prior,2595715,2595715,0,3,exact
2026-27,current_revenue,02,BE_current,3010900,3010900,0,3,exact
2026-27,current_revenue,03,BE_prior,351680,351679,1,6,rounding
2026-27,current_revenue,03,RE_prior,373317,373317,0,6,exact
2026-27,current_revenue,03,BE_current,389469,389469,0,6,exact
2026-27,current_revenue,04,BE_prior,242143,242144,-1,8,rounding
2026-27,current_revenue,04,RE_prior,245221,245222,-1,8,rounding
2026-27,current_revenue,04,BE_current,238436,238438,-2,8,rounding
2026-27,current_revenue,05,BE_prior,3168,3168,0,4,exact
2026-27,current_revenue,05,RE_prior,2740,2740,0,4,exact
2026-27,current_revenue,05,BE_current,2406,2406,0,4,exact
2026-27,current_revenue,06,BE_prior,19249,19249,0,3,exact
2026-27,current_revenue,06,RE_prior,12560,12560,0,3,exact
2026-27,current_revenue,06,BE_current,18570,18570,0,3,exact
2026-27,current_revenue,07,BE_prior,31974,31975,-1,6,rounding
2026-27,current_revenue,07,RE_prior,60244,60245,-1,6,rounding
2026-27,current_revenue,07,BE_current,37438,37438,0,6,exact
2026-27,current_revenue,08,BE_prior,22159,22158,1,5,rounding
2026-27,current_revenue,08,RE_prior,36317,36317,0,5,exact
2026-27,current_revenue,08,BE_current,23796,23796,0,5,exact
2026-27,current_revenue,09,BE_prior,112683,112683,0,7,exact
2026-27,current_revenue,09,RE_prior,169027,169026,1,7,rounding
2026-27,current_revenue,09,BE_current,117748,117748,0,7,exact
2026-27,current_revenue,10,BE_prior,734187,734187,0,7,exact
2026-27,current_revenue,10,RE_prior,728730,728730,0,7,exact
2026-27,current_revenue,10,BE_current,857008,857007,1,7,rounding
2026-27,current_capital,01,BE_prior,5787114,5787114,0,8,exact
2026-27,current_capital,01,RE_prior,3607449,3607449,0,8,exact
2026-27,current_capital,01,BE_current,6061282,6061282,0,8,exact
2026-27,dev_revenue,01,BE_prior,391839,391839,0,8,exact
2026-27,dev_revenue,01,RE_prior,313425,313426,-1,8,rounding
2026-27,dev_revenue,01,BE_current,367805,367805,0,8,exact
2026-27,dev_revenue,02,BE_prior,2720,2720,0,3,exact
2026-27,dev_revenue,02,RE_prior,2668,2668,0,3,exact
2026-27,dev_revenue,02,BE_current,2961,2961,0,3,exact
2026-27,dev_revenue,03,BE_prior,2921,2921,0,6,exact
2026-27,dev_revenue,03,RE_prior,2103,2103,0,6,exact
2026-27,dev_revenue,03,BE_current,5743,5743,0,6,exact
2026-27,dev_revenue,04,BE_prior,105611,105611,0,8,exact
2026-27,dev_revenue,04,RE_prior,104589,104589,0,8,exact
2026-27,dev_revenue,04,BE_current,79382,79382,0,8,exact
2026-27,dev_revenue,05,BE_prior,2784,2784,0,4,exact
2026-27,dev_revenue,05,RE_prior,2292,2292,0,4,exact
2026-27,dev_revenue,05,BE_current,2478,2478,0,4,exact
2026-27,dev_revenue,06,BE_prior,7977,7977,0,3,exact
2026-27,dev_revenue,06,RE_prior,6596,6596,0,3,exact
2026-27,dev_revenue,06,BE_current,14189,14189,0,3,exact
2026-27,dev_revenue,07,BE_prior,15102,15102,0,6,exact
2026-27,dev_revenue,07,RE_prior,13691,13691,0,6,exact
2026-27,dev_revenue,07,BE_current,18217,18217,0,6,exact
2026-27,dev_revenue,08,BE_prior,3696,3697,-1,5,rounding
2026-27,dev_revenue,08,RE_prior,2479,2479,0,5,exact
2026-27,dev_revenue,08,BE_current,2822,2822,0,5,exact
2026-27,dev_revenue,09,BE_prior,55824,55824,0,7,exact
2026-27,dev_revenue,09,RE_prior,52639,52639,0,7,exact
2026-27,dev_revenue,09,BE_current,76381,76381,0,7,exact
2026-27,dev_revenue,10,BE_prior,2300,2300,0,7,exact
2026-27,dev_revenue,10,RE_prior,574,574,0,7,exact
2026-27,dev_revenue,10,BE_current,5317,5317,0,7,exact
2026-27,dev_capital,01,BE_prior,1163036,1163036,0,8,exact
2026-27,dev_capital,01,RE_prior,1131537,1131537,0,8,exact
2026-27,dev_capital,01,BE_current,1006723,1006723,0,8,exact
2026-27,dev_capital,04,BE_prior,21144,21144,0,8,exact
2026-27,dev_capital,04,RE_prior,24267,24268,-1,8,rounding
2026-27,dev_capital,04,BE_current,25291,25290,1,8,rounding
