code,parent_code,level,name,expenditure_tables,first_year,last_year,2026-27_cur_rev_BE_prior,2026-27_cur_rev_RE_prior,2026-27_cur_rev_BE_current,2026-27_cur_cap_BE_prior,2026-27_cur_cap_RE_prior,2026-27_cur_cap_BE_current,2026-27_dev_rev_BE_prior,2026-27_dev_rev_RE_prior,2026-27_dev_rev_BE_current,2026-27_dev_cap_BE_prior,2026-27_dev_cap_RE_prior,2026-27_dev_cap_BE_current
11,1,2,"Executive & Legislative Organs, Financial & Fiscal Affairs, External Affairs",current_capital; current_revenue; dev_capital; dev_revenue,2010-11,2025-26,10397794,8861174,10326003,5672032,3490490,5966567,10481,17830,13846,0,0,0
12,1,2,Foreign Economic Aid,current_revenue; dev_revenue,2010-11,2025-26,5793,5793,5203,0,0,0,0,0,0,0,0,0
14,1,2,Transfers,current_capital; current_revenue; dev_capital; dev_revenue,2010-11,2025-26,1682477,1791068,2330690,115082,116959,94715,331130,252384,294286,1162275,1130776,1005388
15,1,2,General Services,current_revenue; dev_revenue,2010-11,2025-26,23990,22404,25073,0,0,0,29260,26749,36982,0,0,0
16,1,2,Basic Research,current_revenue; dev_revenue,2010-11,2025-26,10229,9758,11080,0,0,0,19670,15708,22198,0,0,0
17,1,2,Research & Dev. General Public Services,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,30214,30088,33246,0,0,0,921,463,160,761,761,1335
18,1,2,Admn. of General Public Services,current_revenue,2010-11,2025-26,9869,10031,10578,0,0,0,0,0,0,0,0,0
19,1,2,Gen. Public Services not elsewhere defined,current_capital; current_revenue; dev_capital; dev_revenue,2010-11,2025-26,50484,52137,57774,0,0,0,377,291,333,0,0,0
21,2,2,Defence Services,current_revenue; dev_revenue,2010-11,2025-26,2550000,2583968,3000000,0,0,0,556,865,387,0,0,0
A01,21,2,Employees Related Expenses,current_revenue,2010-11,2025-26,846032,851080,967548,0,0,0,0,0,0,0,0,0
A02,21,2,Project Pre-investment Analysis,,,,0,0,0,0,0,0,0,0,0,0,0,0
A03,21,2,Operating Expenses,current_revenue,2010-11,2025-26,704399,721030,743462,0,0,0,0,0,0,0,0,0
A04,21,2,Employees Retirement Benefits,,,,0,0,0,0,0,0,0,0,0,0,0,0
A05,21,2,"Grants, Subsidies & Write off Loans",,,,0,0,0,0,0,0,0,0,0,0,0,0
A06,21,2,Transfers,,,,0,0,0,0,0,0,0,0,0,0,0,0
A07,21,2,Interest Payment,,,,0,0,0,0,0,0,0,0,0,0,0,0
A08,21,2,Loans Advances,,,,0,0,0,0,0,0,0,0,0,0,0,0
A09,21,2,Physical Assets,current_revenue,2010-11,2025-26,663077,663923,925833,0,0,0,0,0,0,0,0,0
A11,21,2,Investments,,,,0,0,0,0,0,0,0,0,0,0,0,0
A12,21,2,Civil Works,current_revenue,2010-11,2025-26,336492,347935,363158,0,0,0,0,0,0,0,0,0
A13,21,2,Repairs & Maintenance,,,,0,0,0,0,0,0,0,0,0,0,0,0
24,2,2,Survey of Pakistan,dev_revenue,2023-24,2025-26,0,0,0,0,0,0,248,246,1054,0,0,0
25,2,2,Defence Administration,current_revenue; dev_revenue,2010-11,2025-26,7950,11747,10900,0,0,0,1916,1557,1520,0,0,0
31,3,2,Law Courts,current_revenue; dev_revenue,2010-11,2025-26,19380,21532,25756,0,0,0,1912,1583,2403,0,0,0
32,3,2,Police,current_revenue; dev_revenue,2010-11,2025-26,321177,327670,350404,0,0,0,986,497,3340,0,0,0
33,3,2,Fire Protection,current_revenue; dev_revenue,2010-11,2025-26,709,671,748,0,0,0,0,0,0,0,0,0
34,3,2,Prison Administration Operation,current_revenue; dev_revenue,2010-11,2025-26,181,167,187,0,0,0,0,0,0,0,0,0
35,3,2,R&D Public Order and Safety Affairs,current_revenue,2010-11,2025-26,98,195,104,0,0,0,0,0,0,0,0,0
36,3,2,Administration of Public Order,current_revenue; dev_revenue,2010-11,2025-26,10135,23082,12270,0,0,0,23,23,0,0,0,0
41,4,2,"Gen. Eco., Commercial & Labour Affairs",current_capital; current_revenue; dev_capital; dev_revenue,2010-11,2025-26,117035,103642,110199,0,0,0,4058,1064,2563,719,368,312
42,4,2,"Agri., Food, Irrigation, Forestry & Fishing",current_capital; current_revenue; dev_capital; dev_revenue,2010-11,2025-26,33476,40645,33204,0,0,0,72162,69779,49629,0,0,0
43,4,2,Fuel and Energy,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,2397,2343,1360,0,0,0,7009,13367,8451,0,244,0
44,4,2,Mining and Manufacturing,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,7586,18888,10267,0,0,0,1105,420,761,1904,1714,6658
45,4,2,Construction and Transport,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,46228,44998,46405,0,0,0,20325,17794,16965,17280,21309,17821
46,4,2,Communications,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,33103,32369,34517,0,0,0,814,2066,449,1241,632,500
47,4,2,Other Industries,current_revenue; dev_revenue,2010-11,2025-26,1525,1568,1527,0,0,0,0,0,0,0,0,0
48,4,2,R&D and Other Expenditure Economic Affairs (Housing & Works),current_revenue; dev_revenue,2022-23,2025-26,793,768,957,0,0,0,138,99,564,0,0,0
52,5,2,Waste Water Management,current_revenue,2010-11,2019-20,0,0,0,0,0,0,0,0,0,0,0,0
53,5,2,Pollution Abatement,current_revenue,2023-24,2025-26,2155,1655,1155,0,0,0,0,0,0,0,0,0
54,5,2,Other Expenditure of Industries,current_revenue,2022-23,2024-25,0,0,0,0,0,0,0,0,0,0,0,0
55,5,2,Administration of Environment Protection Affairs,current_revenue; dev_revenue,2012-13,2025-26,1013,1085,1251,0,0,0,2784,2292,2478,0,0,0
61,6,2,Housing Development,current_revenue; dev_revenue,2010-11,2025-26,1588,129,143,0,0,0,0,0,0,0,0,0
62,6,2,Community Development,current_revenue; dev_revenue,2010-11,2025-26,17661,12431,18427,0,0,0,7971,6590,14189,0,0,0
63,6,2,Water Supply,dev_capital; dev_revenue,2010-11,2025-26,0,0,0,0,0,0,6,6,0,0,0,0
71,7,2,"Medical Products, Appliances and Equipment",current_revenue,2010-11,2025-26,32,33,38,0,0,0,0,0,0,0,0,0
72,7,2,Out-Patient Services,dev_revenue,2010-11,2020-21,0,0,0,0,0,0,0,0,0,0,0,0
73,7,2,Hospital Services,current_revenue; dev_revenue,2010-11,2025-26,24035,24547,28779,0,0,0,6107,6273,8690,0,0,0
74,7,2,Public Health Services,current_revenue; dev_revenue,2010-11,2025-26,1139,30813,1204,0,0,0,8700,7138,5962,0,0,0
75,7,2,R&D Health,current_revenue; dev_revenue,2010-11,2021-22,0,0,0,0,0,0,0,0,0,0,0,0
76,7,2,Health Administration,current_revenue; dev_revenue,2010-11,2025-26,6768,4851,7417,0,0,0,295,280,3565,0,0,0
81,8,2,Recreation and Sporting Services,current_revenue; dev_revenue,2010-11,2025-26,0,70,0,0,0,0,1180,1180,1851,0,0,0
82,8,2,Cultural Services,current_revenue; dev_revenue,2010-11,2025-26,1503,1473,1591,0,0,0,250,0,0,0,0,0
83,8,2,Broadcasting and Publishing,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,16488,31074,17673,0,0,0,1616,1249,659,0,0,0
84,8,2,Religious Affairs,current_revenue; dev_revenue,2010-11,2025-26,2094,2029,2204,0,0,0,650,50,312,0,0,0
86,8,2,"Admn. of Information, Recreation & Culture",current_revenue,2010-11,2025-26,2074,1671,2328,0,0,0,0,0,0,0,0,0
91,9,2,Pre-Primary and Primary Education Affairs and Services,current_revenue; dev_revenue,2010-11,2025-26,5841,5904,6275,0,0,0,0,0,0,0,0,0
92,9,2,Secondary Education Affairs and Services,current_revenue; dev_revenue,2010-11,2025-26,14420,14704,16015,0,0,0,0,0,0,0,0,0
93,9,2,Tertiary Education Affairs and Services,current_revenue; dev_revenue,2010-11,2025-26,82012,83569,84462,0,0,0,52175,50638,72059,0,0,0
94,9,2,Education Services not Definable by Level,current_revenue,2010-11,2025-26,3738,4014,3878,0,0,0,0,0,0,0,0,0
95,9,2,Subsidiary Services to Education,current_revenue; dev_revenue,2010-11,2025-26,392,406,410,0,0,0,650,362,722,0,0,0
96,9,2,Administration of Education,current_revenue; dev_revenue,2010-11,2025-26,4825,4457,5224,0,0,0,750,0,0,0,0,0
97,9,2,Education Affairs & Services not Elsewhere Classified,current_revenue; dev_revenue,2010-11,2025-26,1455,55973,1484,0,0,0,2249,1639,3600,0,0,0
100,10,2,Frontier Regions,,,,0,0,0,0,0,0,0,0,0,0,0,0
101,10,2,Federally Administered Tribal Areas,,,,0,0,0,0,0,0,0,0,0,0,0,0
102,10,2,Maintenance Allowances to Ex-Rulers,,,,0,0,0,0,0,0,0,0,0,0,0,0
103,10,2,Afghan Refugees,,,,0,0,0,0,0,0,0,0,0,0,0,0
107,10,2,Administration,current_revenue; dev_revenue,2010-11,2025-26,5890,9555,4975,0,0,0,2300,574,5317,0,0,0
108,10,2,Others,current_revenue; dev_revenue,2010-11,2025-26,1303,1643,2556,0,0,0,0,0,0,0,0,0
109,10,2,Social Protection (Not elsewhere classified),current_revenue; dev_revenue,2019-20,2025-26,726994,717532,849477,0,0,0,0,0,0,0,0,0
