fiscal_year,source_abs,reference_year,estimate_type,expenditure_table,function_code,function_name,value_rs_million
2010-11,ABS_2010-11,2009-10,BE,current_revenue,01,General Public Services,1189082.0
2010-11,ABS_2010-11,2009-10,RE,current_revenue,01,General Public Services,1471743.0
2010-11,ABS_2010-11,2010-11,BE,current_revenue,01,General Public Services,1387664.0
2010-11,ABS_2010-11,2009-10,BE,current_revenue,02,Defence Affairs and Services,342913.0
2010-11,ABS_2010-11,2009-10,RE,current_revenue,02,Defence Affairs and Services,378135.0
2010-11,ABS_2010-11,2010-11,BE,current_revenue,02,Defence Affairs and Services,442173.0
2010-11,ABS_2010-11,2009-10,BE,current_revenue,03,Public Order and Safety Affairs,34641.0
2010-11,ABS_2010-11,2009-10,RE,current_revenue,03,Public Order and Safety Affairs,37385.0
2010-11,ABS_2010-11,2010-11,BE,current_revenue,03,Public Order and Safety Affairs,51263.0
2010-11,ABS_2010-11,2009-10,BE,current_revenue,04,Economic Affairs,84926.0
2010-11,ABS_2010-11,2009-10,RE,current_revenue,04,Economic Affairs,80608.0
2010-11,ABS_2010-11,2010-11,BE,current_revenue,04,Economic Affairs,66897.0
2010-11,ABS_2010-11,2009-10,BE,current_revenue,05,Environment Protection,415.0
2010-11,ABS_2010-11,2009-10,RE,current_revenue,05,Environment Protection,415.0
2010-11,ABS_2010-11,2010-11,BE,current_revenue,05,Environment Protection,448.0
2010-11,ABS_2010-11,2009-10,BE,current_revenue,06,Housing and Community Amenities,1522.0
2010-11,ABS_2010-11,2009-10,RE,current_revenue,06,Housing and Community Amenities,1801.0
2010-11,ABS_2010-11,2010-11,BE,current_revenue,06,Housing and Community Amenities,1842.0
2010-11,ABS_2010-11,2009-10,BE,current_revenue,07,Health,6484.0
2010-11,ABS_2010-11,2009-10,RE,current_revenue,07,Health,6743.0
2010-11,ABS_2010-11,2010-11,BE,current_revenue,07,Health,7283.0
2010-11,ABS_2010-11,2009-10,BE,current_revenue,08,"Recreation, Culture and Religion",3697.0
2010-11,ABS_2010-11,2009-10,RE,current_revenue,08,"Recreation, Culture and Religion",4506.0
2010-11,ABS_2010-11,2010-11,BE,current_revenue,08,"Recreation, Culture and Religion",4359.0
2010-11,ABS_2010-11,2009-10,BE,current_revenue,09,Education Affairs and Services,31569.0
2010-11,ABS_2010-11,2009-10,RE,current_revenue,09,Education Affairs and Services,31535.0
2010-11,ABS_2010-11,2010-11,BE,current_revenue,09,Education Affairs and Services,34500.0
2010-11,ABS_2010-11,2009-10,BE,current_revenue,10,Social Protection,3944.0
2010-11,ABS_2010-11,2009-10,RE,current_revenue,10,Social Protection,4384.0
2010-11,ABS_2010-11,2010-11,BE,current_revenue,10,Social Protection,1463.0
2010-11,ABS_2010-11,2009-10,BE,current_capital,01,General Public Services,94227.0
